source_path,entry,start_x,start_y,end_x,end_y,wave_type,wave_name
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,1,3.768430709838867,1427.1776123046875,4.546072006225586,1426.5489501953125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,2,39.628135681152344,1456.359375,40.0493049621582,1455.452392578125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,3,84.40667724609375,1480.295654296875,84.93351745605469,1479.4456787109375,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,4,121.9623031616211,1514.094482421875,122.77430725097656,1513.5108642578125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,5,154.4605255126953,1553.694091796875,155.2178497314453,1553.041015625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,6,179.81088256835938,1600.241943359375,180.7801971435547,1599.99609375,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,7,184.25729370117188,1651.5625,185.2562255859375,1651.6087646484375,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,8,178.08261108398438,1701.886474609375,179.06234741210938,1702.0867919921875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,9,172.08987426757812,1752.860107421875,173.08865356445312,1752.909423828125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,10,163.68373107910156,1805.727294921875,164.64569091796875,1806.00048828125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,11,142.09228515625,1853.928466796875,142.9260711669922,1854.4805908203125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,12,118.61492919921875,1898.061767578125,119.54277801513672,1898.4346923828125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,13,109.06425476074219,1942.8475341796875,110.0624008178711,1942.9083251953125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,14,109.17901611328125,1991.20166015625,110.17707061767578,1991.139404296875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,15,116.1242446899414,2038.3720703125,117.0996322631836,2038.151611328125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,16,125.61903381347656,2086.8125,126.60218811035156,2086.629638671875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,17,133.79649353027344,2137.854736328125,134.78392028808594,2137.696533203125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,18,141.92503356933594,2184.9228515625,142.9036407470703,2184.717041015625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,19,154.39532470703125,2233.82373046875,155.34353637695312,2233.506103515625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,20,167.98289489746094,2279.7275390625,168.9288330078125,2279.4033203125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,21,187.71237182617188,2318.80859375,188.4918975830078,2318.18212890625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,22,219.0146942138672,2342.5859375,219.40139770507812,2341.663818359375,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,23,265.202880859375,2356.0849609375,265.39453125,2355.103515625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,24,316.70257568359375,2362.21923828125,316.7650451660156,2361.22119140625,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,25,368.69439697265625,2365.282470703125,368.7913818359375,2364.287109375,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,26,420.62982177734375,2372.2080078125,420.819580078125,2371.22607421875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,27,469.8558349609375,2387.39892578125,470.25927734375,2386.48388671875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,28,512.637939453125,2419.25830078125,513.4158935546875,2418.6298828125,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,29,533.7640991210938,2457.2548828125,534.7183227539062,2456.955810546875,3,Close Ocean Double
MapsZH.big\Maps\Leipzig Lowlands\leipzig lowlands.wak,30,544.2054443359375,2508.67626953125,545.2034301757812,2508.612548828125,3,Close Ocean Double
